Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
1,0.408123,0.044328,0.130264,0.104549,0.272221,0.173410,0.157004,0.156605,0.264644,0.002486,0.007081,0.106995,0.187356,0.476176,0.027262,0.005550,0.017865,0.000000,0.223464,0.000000,0.002099,0.003065,0.143884,0.066787,0.105194,0.023814,0.367595,0.045811,0.014571,0.041404,0.175033,0.034134,0.114185,0.115029,0.066630,0.131651
2,0.003222,0.009178,0.138672,0.242823,0.617149,0.035333,0.007193,0.023154,0.000000,0.006937,0.031388,0.071273,0.342546,0.482275,0.059914,0.003316,0.061034,0.000000,0.059374,0.018885,0.053662,0.226853,0.044239,0.147990,0.149084,0.086356,0.170626,0.014672,0.065958,0.061302,0.133092,0.033519,0.078922,0.024422,0.013533,0.024276
3,0.007190,0.032533,0.073873,0.355040,0.499865,0.062099,0.003437,0.063261,0.000000,0.020704,0.044455,0.047468,0.219420,0.697411,0.024989,0.073845,0.029254,0.000000,0.015207,0.068364,0.063538,0.137946,0.034742,0.081801,0.025313,0.014026,0.025162,0.017740,0.053833,0.059906,0.054643,0.071640,0.080401,0.053674,0.040183,0.017493
4,0.019433,0.041726,0.044554,0.205951,0.654600,0.023455,0.069312,0.027459,0.000000,0.033486,0.007879,0.024272,0.110580,0.662607,0.012601,0.017913,0.013767,0.007491,0.016651,0.050528,0.056229,0.051289,0.067242,0.075466,0.050379,0.037717,0.016419,0.017758,0.016212,0.041745,0.035646,0.040179,0.096160,0.153801,0.025892,0.057013
5,0.033250,0.007823,0.024100,0.109800,0.657932,0.012512,0.017787,0.013670,0.007438,0.003158,0.008781,0.027891,0.101102,0.689501,0.050537,0.028212,0.012442,0.000000,0.017632,0.016097,0.041451,0.035394,0.039895,0.095482,0.152716,0.025710,0.056611,0.047042,0.051826,0.079219,0.036678,0.003048,0.035922,0.050362,0.060066,0.034669
6,0.003297,0.009168,0.029120,0.105556,0.719875,0.052764,0.029455,0.012990,0.000000,0.027177,0.041231,0.037346,0.058618,0.639672,0.024498,0.009978,0.006619,0.024119,0.049114,0.054110,0.082709,0.038293,0.003182,0.037504,0.052580,0.062712,0.036196,0.020739,0.040066,0.076654,0.076784,0.082916,0.038269,0.033978,0.041082,0.006249
7,0.027608,0.041885,0.037937,0.059547,0.649808,0.024886,0.010136,0.006724,0.024501,0.256256,0.021070,0.077387,0.112712,0.543197,0.017348,0.079813,0.044463,0.170054,0.021068,0.040701,0.077869,0.078001,0.084230,0.038876,0.034516,0.041733,0.006348,0.323409,0.024524,0.032235,0.020254,0.028938,0.014754,0.047383,0.031599,0.121148
8,0.288625,0.000000,0.002712,0.003958,0.185840,0.086262,0.135868,0.030758,0.474785,0.059170,0.018820,0.053478,0.226072,0.044087,0.147481,0.148571,0.086059,0.170039,0.598973,0.025480,0.023815,0.020756,0.056761,0.048308,0.024762,0.053953,0.230558,0.003287,0.004337,0.001299,0.001570,0.007592,0.152165,0.183313,0.102228,0.002150
9,0.073945,0.023519,0.066832,0.282524,0.055096,0.184308,0.185671,0.107548,0.212499,0.018273,0.082144,0.076346,0.165754,0.041745,0.098291,0.030416,0.016854,0.030234,0.004107,0.005420,0.001624,0.001962,0.009487,0.190162,0.229088,0.127756,0.002686,0.026220,0.064621,0.017978,0.010249,0.075081,0.748801,0.205202,0.080493,0.047414
10,0.018309,0.082310,0.076499,0.166087,0.041829,0.098489,0.030477,0.016887,0.030295,0.021359,0.064815,0.072127,0.065791,0.086254,0.096803,0.064623,0.048381,0.021062,0.026273,0.064751,0.018014,0.010270,0.075233,0.750308,0.205616,0.080655,0.047510,0.008448,0.066365,0.035911,0.066994,0.160742,0.410607,0.252853,0.094001,0.074003
