Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
1,0.120381,0.070546,0.031991,0.058191,0.208637,0.304855,0.130808,0.073437,0.130832,0.447080,0.096941,0.029558,0.310611,0.191063,0.126828,0.075115,0.039586,0.068269,0.103284,0.005459,0.008484,0.004538,0.328348,0.109124,0.017203,0.041861,0.251282,0.118516,0.037436,0.018155,0.057023,0.328221,0.275572,0.162815,0.060787,0.018469
2,0.419655,0.090995,0.027745,0.291558,0.179343,0.119049,0.070507,0.037158,0.064082,0.058254,0.006323,0.048330,0.075761,0.478408,0.313457,0.120777,0.056821,0.021150,0.111246,0.035139,0.017042,0.053525,0.308088,0.258668,0.152827,0.057058,0.017336,0.115111,0.084774,0.076293,0.095256,0.092552,0.249707,0.001229,0.053085,0.039514
3,0.066481,0.007216,0.055156,0.086460,0.545975,0.357727,0.137834,0.064846,0.024137,0.040211,0.016701,0.013426,0.106324,0.373143,0.098111,0.144621,0.106099,0.016285,0.131368,0.096747,0.087068,0.108709,0.105623,0.284974,0.001403,0.060582,0.045094,0.298639,0.100108,0.082772,0.134992,0.240950,0.077718,0.019055,0.000000,0.087513
4,0.047031,0.019533,0.015704,0.124358,0.436430,0.114751,0.169150,0.124094,0.019047,0.016849,0.021297,0.020911,0.133143,0.372456,0.091601,0.080910,0.016835,0.023598,0.349291,0.117088,0.096811,0.157887,0.281817,0.090899,0.022287,0.000000,0.102356,0.270312,0.252148,0.065709,0.066041,0.048901,0.046322,0.097620,0.296215,0.210883
5,0.017675,0.022341,0.021936,0.139667,0.390704,0.096089,0.084874,0.017660,0.024754,0.058729,0.043316,0.103261,0.146895,0.497819,0.029773,0.067021,0.060758,0.114040,0.283556,0.264502,0.068928,0.069276,0.051297,0.048591,0.102403,0.310728,0.221215,0.079106,0.041440,0.059117,0.104205,0.359331,0.095996,0.104426,0.085694,0.043946
6,0.045260,0.033382,0.079580,0.113207,0.383651,0.022945,0.051651,0.046824,0.087886,0.050315,0.140138,0.029947,0.079716,0.520238,0.049204,0.106750,0.082338,0.118374,0.060964,0.031937,0.045560,0.080307,0.276923,0.073980,0.080477,0.066041,0.033868,0.208991,0.026630,0.000000,0.054355,0.034455,0.035554,0.055508,0.117579,0.555525
7,0.033465,0.093208,0.019918,0.053021,0.346019,0.032726,0.071001,0.054765,0.078733,0.071884,0.017945,0.033385,0.070659,0.372294,0.000450,0.057292,0.028195,0.552079,0.139003,0.017712,0.000000,0.036152,0.022917,0.023647,0.036919,0.078204,0.369489,0.341906,0.035419,0.026382,0.048059,0.031761,0.053030,0.080789,0.022625,0.307941
8,0.075328,0.003981,0.006188,0.003310,0.239476,0.079588,0.012547,0.030531,0.183269,0.086438,0.027303,0.013241,0.041588,0.239383,0.200984,0.118746,0.044334,0.013470,0.249163,0.103615,0.078784,0.046342,0.667576,0.062824,0.000000,0.022401,0.178914,0.096804,0.063693,0.063379,0.186721,0.213520,0.111235,0.107473,0.108949,0.273586
9,0.119974,0.037896,0.018379,0.057724,0.332260,0.278962,0.164818,0.061535,0.018696,0.124142,0.091426,0.082279,0.102730,0.099813,0.269299,0.001326,0.057250,0.042614,0.134363,0.088405,0.087969,0.259166,0.296363,0.154392,0.149171,0.151219,0.379732,0.196615,0.153360,0.004798,0.010595,0.066699,0.137544,0.146764,0.134685,0.324334
10,0.155427,0.114465,0.103014,0.128618,0.124967,0.337165,0.001660,0.071678,0.053353,0.353333,0.118442,0.097931,0.159714,0.285079,0.091951,0.022545,0.000000,0.103540,0.246164,0.192008,0.006007,0.013265,0.083508,0.172206,0.183750,0.168626,0.406069,0.093445,0.191637,0.296008,0.011775,0.009003,0.008837,0.085292,0.036999,0.141289
