Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.424063742,0.041154169,0.175120130,0.293153942,0.577830493,0.238042429,0.238748923,0.165234342,0.476460248
2,0.052049048,0.077518038,0.200833619,0.584320545,0.727643371,0.199133918,0.113744371,0.113782018,0.120473668
3,0.038471010,0.125947833,0.154781029,0.485018730,0.824324489,0.157630190,0.098811164,0.092776433,0.026971431
4,0.056524299,0.075305931,0.107963115,0.261148512,0.922109365,0.134424567,0.188615680,0.067855611,0.052378595
5,0.068421684,0.057216860,0.116874084,0.191543445,0.941140056,0.131624520,0.168598875,0.075736128,0.066821739
6,0.066027820,0.095148243,0.148623422,0.183781892,0.951413810,0.100716375,0.082917750,0.081214726,0.043807816
7,0.405654371,0.082752302,0.145535186,0.174642295,0.843259156,0.061889347,0.110944495,0.080389239,0.207915276
8,0.621393681,0.031811833,0.053177208,0.165056154,0.192476258,0.284003794,0.322133809,0.178557202,0.573958755
9,0.078629263,0.112738892,0.104444869,0.295467407,0.116399094,0.783800364,0.417306751,0.213440970,0.187893271
10,0.046265364,0.173048183,0.125974000,0.192267522,0.226421177,0.843476653,0.344286084,0.149218172,0.107513778
11,0.114726536,0.161247447,0.194682673,0.246816874,0.218784690,0.695033550,0.496739924,0.221414924,0.187892810
12,0.229469508,0.242870137,0.284456491,0.274660915,0.131854668,0.578006625,0.445398629,0.242988661,0.350860596
13,0.249259517,0.325088292,0.389553487,0.361076742,0.300416648,0.396968901,0.290009856,0.274702251,0.377700150
14,0.730098128,0.152465641,0.266194403,0.260774255,0.301482201,0.159471482,0.118793838,0.152922228,0.388623685
15,0.780792773,0.038611390,0.059010107,0.060085267,0.139984310,0.202589944,0.224005029,0.163959101,0.494044781
16,0.042179674,0.156625792,0.420080960,0.155052632,0.241961449,0.739413440,0.355664223,0.193425074,0.063182600
17,0.318907350,0.329153746,0.334152758,0.169692516,0.267706364,0.680166781,0.303296655,0.112462185,0.102820568
18,0.464337468,0.287231654,0.249270380,0.264960378,0.234639704,0.494451940,0.393099844,0.243424565,0.237123057
19,0.258950055,0.172711313,0.272876799,0.248069644,0.472840071,0.515539765,0.362789929,0.228377923,0.306567222
