Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.424064,0.041154,0.175120,0.293154,0.577831,0.238042,0.238749,0.165234,0.476460
2,0.052049,0.077518,0.200834,0.584321,0.727643,0.199134,0.113744,0.113782,0.120474
3,0.038471,0.125948,0.154781,0.485019,0.824325,0.157630,0.098811,0.092776,0.026971
4,0.056524,0.075306,0.107963,0.261149,0.922109,0.134425,0.188616,0.067856,0.052379
5,0.068422,0.057217,0.116874,0.191543,0.941140,0.131625,0.168599,0.075736,0.066822
6,0.066028,0.095148,0.148623,0.183782,0.951414,0.100716,0.082918,0.081215,0.043808
7,0.405654,0.082752,0.145535,0.174642,0.843259,0.061889,0.110944,0.080389,0.207915
8,0.621394,0.031812,0.053177,0.165056,0.192476,0.284004,0.322134,0.178557,0.573959
9,0.078629,0.112739,0.104445,0.295467,0.116399,0.783800,0.417307,0.213441,0.187893
10,0.046265,0.173048,0.125974,0.192268,0.226421,0.843477,0.344286,0.149218,0.107514
11,0.114727,0.161247,0.194683,0.246817,0.218785,0.695034,0.496740,0.221415,0.187893
12,0.229470,0.242870,0.284456,0.274661,0.131855,0.578007,0.445399,0.242989,0.350861
13,0.249260,0.325088,0.389553,0.361077,0.300417,0.396969,0.290010,0.274702,0.377700
14,0.730098,0.152466,0.266194,0.260774,0.301482,0.159471,0.118794,0.152922,0.388624
15,0.780793,0.038611,0.059010,0.060085,0.139984,0.202590,0.224005,0.163959,0.494045
16,0.042180,0.156626,0.420081,0.155053,0.241961,0.739413,0.355664,0.193425,0.063183
17,0.318907,0.329154,0.334153,0.169693,0.267706,0.680167,0.303297,0.112462,0.102821
18,0.464337,0.287232,0.249270,0.264960,0.234640,0.494452,0.393100,0.243425,0.237123
19,0.258950,0.172711,0.272877,0.248070,0.472840,0.515540,0.362790,0.228378,0.306567
20,0.103281,0.126388,0.113977,0.127454,0.691531,0.633583,0.163693,0.087136,0.173475
21,0.250373,0.054434,0.079855,0.089461,0.573108,0.730861,0.043253,0.092891,0.216471
22,0.626333,0.236279,0.174183,0.112793,0.137445,0.135606,0.140542,0.100448,0.664602
23,0.168258,0.562296,0.670822,0.300501,0.258029,0.066549,0.118352,0.095354,0.145266
24,0.549435,0.530006,0.511089,0.287528,0.205376,0.097246,0.095800,0.033118,0.106868
25,0.723368,0.410288,0.316057,0.216359,0.145897,0.127096,0.206729,0.165227,0.232860
26,0.516941,0.234005,0.264438,0.152105,0.484907,0.276685,0.282118,0.259204,0.355645
27,0.095098,0.066369,0.047909,0.043886,0.748332,0.613331,0.121131,0.095544,0.149508
28,0.268690,0.017981,0.016003,0.023668,0.512321,0.733807,0.047072,0.109227,0.334028
29,0.485768,0.261379,0.169724,0.121716,0.089502,0.148722,0.167054,0.150321,0.755948
30,0.600176,0.434220,0.216000,0.132162,0.073040,0.047489,0.144468,0.174575,0.572871
31,0.708427,0.401137,0.223340,0.191843,0.096257,0.066225,0.051955,0.109684,0.471332
32,0.665068,0.525090,0.321418,0.195000,0.059599,0.122551,0.164560,0.186688,0.245208
33,0.615454,0.407389,0.249116,0.133091,0.028426,0.095975,0.195975,0.328155,0.468366
34,0.294778,0.275730,0.232109,0.254545,0.100866,0.190038,0.197082,0.399989,0.687961
35,0.867020,0.022102,0.022344,0.034485,0.104330,0.194707,0.036430,0.077768,0.435809
36,0.290930,0.132503,0.113911,0.115950,0.112103,0.187095,0.376280,0.256188,0.785233
37,0.619072,0.179033,0.143285,0.127392,0.098497,0.141559,0.190015,0.334905,0.608219
38,0.607703,0.155866,0.199986,0.148959,0.241298,0.309261,0.142001,0.236511,0.560581
39,0.334735,0.268660,0.233395,0.159158,0.262879,0.606900,0.422962,0.239244,0.249807
40,0.392950,0.251650,0.285628,0.134293,0.072049,0.415966,0.472196,0.393203,0.356156
41,0.202654,0.175229,0.452402,0.335022,0.208705,0.416542,0.403928,0.250190,0.410488
42,0.961857,0.029064,0.044159,0.058784,0.044844,0.140473,0.093610,0.019822,0.194117
43,0.527613,0.092078,0.202945,0.225182,0.185279,0.183166,0.391842,0.246038,0.582494
44,0.380394,0.109590,0.143085,0.158627,0.122637,0.175558,0.257549,0.418707,0.714246
45,0.304926,0.036056,0.165816,0.140645,0.252708,0.347717,0.204523,0.404644,0.684185
46,0.148711,0.055571,0.125305,0.115517,0.239642,0.641164,0.387548,0.516283,0.245949
47,0.157163,0.086195,0.115909,0.066710,0.096688,0.426787,0.435461,0.706301,0.264578
48,0.129516,0.120698,0.250437,0.253442,0.180353,0.253282,0.346665,0.687847,0.389509
49,0.887994,0.053626,0.053189,0.138041,0.100550,0.152941,0.127330,0.077188,0.361986
50,0.967902,0.021569,0.131777,0.153676,0.111564,0.027564,0.011896,0.028081,0.087077
51,0.138040,0.017941,0.034640,0.070778,0.072441,0.067818,0.166174,0.710295,0.657597
52,0.157984,0.007635,0.024398,0.046734,0.074858,0.099739,0.107872,0.742077,0.627963
53,0.181718,0.064395,0.031412,0.050833,0.069319,0.218488,0.188264,0.803412,0.475188
54,0.188456,0.125896,0.061607,0.057356,0.080445,0.164780,0.301923,0.757165,0.493425
55,0.235520,0.181018,0.143081,0.176932,0.183889,0.153994,0.292050,0.650117,0.542689
56,0.828559,0.073580,0.079181,0.137187,0.146224,0.150949,0.068828,0.092501,0.474895
57,0.666317,0.010313,0.010887,0.008570,0.556753,0.119379,0.006571,0.014569,0.480877
58,0.039250,0.064644,0.066012,0.090156,0.408434,0.179393,0.104386,0.838600,0.262009
59,0.278535,0.042296,0.041420,0.077940,0.103852,0.119876,0.075988,0.682397,0.645170
60,0.367277,0.128708,0.056039,0.049875,0.078811,0.135311,0.137896,0.533627,0.717371
61,0.282544,0.215875,0.115288,0.041798,0.110310,0.150951,0.268257,0.656676,0.566029
62,0.317424,0.219146,0.161057,0.125150,0.217953,0.240441,0.284921,0.596388,0.517147
63,0.632054,0.107399,0.109086,0.124177,0.152164,0.208499,0.094844,0.082402,0.692273
64,0.166315,0.009801,0.045439,0.058179,0.699401,0.206795,0.018344,0.055856,0.656820
65,0.098550,0.184235,0.185184,0.158304,0.777786,0.461403,0.237561,0.119217,0.092197
66,0.479788,0.475666,0.176334,0.147928,0.235942,0.320124,0.197010,0.111198,0.530323
67,0.530709,0.430467,0.127054,0.095267,0.117877,0.169277,0.181450,0.348173,0.557790
68,0.433594,0.264124,0.124941,0.065828,0.129194,0.157203,0.248857,0.633052,0.467121
69,0.429071,0.285160,0.153823,0.112763,0.174918,0.179861,0.228581,0.586470,0.488940
