Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.376848549,0.207810372,0.142490551,0.175690681,0.179641038,0.250095159,0.382954657,0.554555058,0.463276505
2,0.194555655,0.093566410,0.163464174,0.410990775,0.538224578,0.460660785,0.290509135,0.300352931,0.285057753
3,0.144101515,0.180318490,0.163380191,0.372154772,0.629096270,0.484508127,0.314003587,0.176957116,0.145277053
4,0.222109124,0.271116734,0.231291190,0.363200009,0.636067033,0.255161375,0.393386066,0.180536076,0.186330333
5,0.189943954,0.204374328,0.266726941,0.390585542,0.675742209,0.254476070,0.352527887,0.152818143,0.171573147
6,0.273981184,0.257866859,0.343196779,0.325431049,0.627594471,0.339372516,0.205546677,0.217063308,0.190617800
7,0.328730911,0.211164743,0.155313641,0.274152398,0.421796143,0.399048209,0.336103916,0.308938682,0.450003505
8,0.286492020,0.329160452,0.279773474,0.320102513,0.348465472,0.228189558,0.378142327,0.405791461,0.384291530
9,0.156343222,0.245224983,0.243811011,0.429000378,0.502793550,0.483219624,0.296509445,0.249685928,0.188076854
10,0.134292990,0.204464301,0.181172192,0.375803679,0.532755613,0.539355993,0.260569245,0.334268421,0.108364776
11,0.168045431,0.165950224,0.157919183,0.297689736,0.650295615,0.422353297,0.291135967,0.367354661,0.098424099
12,0.200228631,0.192856699,0.161236301,0.328209639,0.677220881,0.414182037,0.298783183,0.238463223,0.112628385
13,0.315418184,0.316461742,0.300558567,0.346951634,0.415901452,0.320183218,0.398899168,0.271032512,0.285625517
14,0.314620703,0.323558033,0.190571323,0.223479703,0.282019734,0.162252858,0.462621838,0.376293063,0.498584777
15,0.190391496,0.296185285,0.223543376,0.402486682,0.496231854,0.369423538,0.374444366,0.294624299,0.233080089
16,0.231137276,0.435837746,0.287771702,0.412409812,0.377327979,0.386901587,0.298935652,0.238930181,0.255357087
17,0.213484496,0.346179783,0.228976339,0.288704634,0.303866714,0.387577087,0.401735306,0.466371298,0.278134674
18,0.173267305,0.130852669,0.221407637,0.270363688,0.567661822,0.443121225,0.349758387,0.419766337,0.116649546
19,0.170813859,0.127165660,0.238515511,0.295917004,0.634985924,0.519363046,0.288888723,0.203565106,0.111150615
20,0.128116146,0.175034121,0.370360792,0.350576401,0.431804061,0.431935817,0.474646091,0.156477645,0.264728010
21,0.320684254,0.260920137,0.288398087,0.302885503,0.339444578,0.232032090,0.421946436,0.361951500,0.419595033
