Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.376849,0.207810,0.142491,0.175691,0.179641,0.250095,0.382955,0.554555,0.463277
2,0.194556,0.093566,0.163464,0.410991,0.538225,0.460661,0.290509,0.300353,0.285058
3,0.144102,0.180318,0.163380,0.372155,0.629096,0.484508,0.314004,0.176957,0.145277
4,0.222109,0.271117,0.231291,0.363200,0.636067,0.255161,0.393386,0.180536,0.186330
5,0.189944,0.204374,0.266727,0.390586,0.675742,0.254476,0.352528,0.152818,0.171573
6,0.273981,0.257867,0.343197,0.325431,0.627594,0.339372,0.205547,0.217063,0.190618
7,0.328731,0.211165,0.155314,0.274152,0.421796,0.399048,0.336104,0.308939,0.450004
8,0.286492,0.329160,0.279773,0.320103,0.348465,0.228190,0.378142,0.405791,0.384292
9,0.156343,0.245225,0.243811,0.429000,0.502794,0.483220,0.296509,0.249686,0.188077
10,0.134293,0.204464,0.181172,0.375804,0.532756,0.539356,0.260569,0.334268,0.108365
11,0.168045,0.165950,0.157919,0.297690,0.650296,0.422353,0.291136,0.367355,0.098424
12,0.200229,0.192857,0.161236,0.328210,0.677221,0.414182,0.298783,0.238463,0.112628
13,0.315418,0.316462,0.300559,0.346952,0.415901,0.320183,0.398899,0.271033,0.285626
14,0.314621,0.323558,0.190571,0.223480,0.282020,0.162253,0.462622,0.376293,0.498585
15,0.190392,0.296185,0.223543,0.402487,0.496232,0.369424,0.374444,0.294624,0.233080
16,0.231137,0.435838,0.287772,0.412410,0.377328,0.386902,0.298936,0.238930,0.255357
17,0.213484,0.346180,0.228976,0.288705,0.303867,0.387577,0.401735,0.466371,0.278135
18,0.173267,0.130853,0.221408,0.270364,0.567662,0.443121,0.349758,0.419766,0.116650
19,0.170814,0.127166,0.238516,0.295917,0.634986,0.519363,0.288889,0.203565,0.111151
20,0.128116,0.175034,0.370361,0.350576,0.431804,0.431936,0.474646,0.156478,0.264728
21,0.320684,0.260920,0.288398,0.302886,0.339445,0.232032,0.421946,0.361951,0.419595
22,0.251452,0.168548,0.254435,0.407732,0.529818,0.419945,0.374388,0.167853,0.227988
23,0.319924,0.333707,0.236868,0.255438,0.253978,0.372923,0.366634,0.321409,0.472897
24,0.183470,0.269532,0.201914,0.246820,0.391068,0.489966,0.371677,0.384594,0.336073
25,0.118922,0.141070,0.217610,0.303069,0.687303,0.463022,0.285815,0.226603,0.083290
26,0.071408,0.128839,0.212199,0.337713,0.807284,0.301281,0.242761,0.112137,0.072379
27,0.045819,0.111691,0.261559,0.285755,0.794652,0.295732,0.296352,0.064971,0.156150
28,0.332089,0.277538,0.269346,0.217566,0.589644,0.251712,0.237131,0.232217,0.414262
29,0.301830,0.137782,0.268556,0.375211,0.525719,0.403869,0.337061,0.137416,0.324077
30,0.284044,0.181209,0.275078,0.253422,0.341475,0.426574,0.514014,0.277083,0.327164
31,0.210373,0.177504,0.228283,0.287910,0.440557,0.491059,0.466493,0.291043,0.227330
32,0.115161,0.105199,0.138947,0.280526,0.784464,0.457050,0.190929,0.119866,0.050693
33,0.042300,0.066258,0.082295,0.291488,0.914931,0.231940,0.090430,0.051147,0.019879
34,0.040599,0.049385,0.077545,0.216609,0.954314,0.135151,0.102534,0.045470,0.037658
35,0.120699,0.147557,0.116940,0.081770,0.851082,0.191342,0.132652,0.110097,0.390676
36,0.649903,0.119624,0.173546,0.192052,0.278368,0.225463,0.200926,0.157487,0.550290
37,0.455745,0.122370,0.247698,0.227133,0.333671,0.272802,0.419458,0.244154,0.493016
38,0.327819,0.130108,0.198410,0.216638,0.295049,0.208079,0.513031,0.427920,0.461131
39,0.304870,0.110563,0.135519,0.249767,0.612642,0.282997,0.226576,0.300877,0.465618
40,0.123150,0.043522,0.059373,0.282992,0.879467,0.231038,0.047122,0.089540,0.249503
41,0.122540,0.054750,0.064087,0.219450,0.908033,0.133292,0.078045,0.170574,0.228568
42,0.440650,0.082192,0.071706,0.083141,0.575077,0.148428,0.091131,0.157941,0.633264
43,0.633797,0.108598,0.068762,0.045997,0.021981,0.017665,0.042973,0.081119,0.755276
44,0.649151,0.206554,0.082158,0.045258,0.043081,0.031897,0.076342,0.222393,0.684821
45,0.371358,0.199378,0.062350,0.057667,0.067515,0.162566,0.211226,0.652726,0.559889
46,0.346697,0.143711,0.102382,0.061962,0.040870,0.122016,0.150401,0.477579,0.759978
47,0.414930,0.135648,0.131291,0.063901,0.054893,0.071233,0.097093,0.268118,0.835889
48,0.384936,0.142209,0.081607,0.072263,0.062055,0.119042,0.177381,0.408294,0.776872
49,0.643291,0.123286,0.023449,0.031425,0.027921,0.043392,0.087146,0.289478,0.689482
50,0.422890,0.131733,0.037728,0.039395,0.024772,0.018694,0.067819,0.176236,0.874193
51,0.630702,0.242831,0.068441,0.056226,0.024726,0.034862,0.045610,0.303814,0.662716
52,0.473098,0.255900,0.105940,0.076221,0.027056,0.162141,0.204458,0.616307,0.494975
53,0.448453,0.213552,0.183305,0.072216,0.043076,0.143088,0.189341,0.508078,0.630988
54,0.504953,0.200420,0.160970,0.036440,0.045174,0.071395,0.150473,0.288080,0.751562
55,0.391297,0.126408,0.075579,0.036338,0.035794,0.076179,0.319646,0.435287,0.724667
56,0.491098,0.137759,0.066478,0.093525,0.035392,0.059657,0.214689,0.512691,0.642592
57,0.476631,0.158700,0.045759,0.056568,0.045523,0.044419,0.136965,0.264042,0.806114
58,0.487232,0.214150,0.128305,0.082473,0.021935,0.036794,0.053496,0.349776,0.752622
59,0.448774,0.333461,0.215049,0.095339,0.062600,0.131314,0.191812,0.524745,0.546589
60,0.476390,0.356638,0.323678,0.133834,0.191805,0.181975,0.247495,0.457492,0.427465
61,0.479912,0.310250,0.238844,0.111332,0.174146,0.134907,0.213761,0.307492,0.644373
62,0.425151,0.251363,0.090162,0.077115,0.092268,0.109816,0.442735,0.412342,0.596133
63,0.477736,0.235726,0.097379,0.116668,0.090508,0.092518,0.324532,0.491948,0.573605
64,0.523026,0.169596,0.093156,0.107469,0.057212,0.102320,0.204671,0.278446,0.737758
65,0.474094,0.230979,0.171467,0.130013,0.045154,0.085992,0.129324,0.372070,0.714832
66,0.446516,0.452326,0.272266,0.131962,0.116955,0.205158,0.173503,0.457213,0.457785
67,0.373230,0.466168,0.385539,0.215894,0.249939,0.226913,0.242456,0.356156,0.385417
68,0.393376,0.355885,0.297559,0.191183,0.193562,0.162896,0.175581,0.291068,0.643396
69,0.529894,0.319348,0.162628,0.116246,0.136238,0.183793,0.355929,0.294549,0.558106
70,0.543287,0.282170,0.145808,0.078528,0.134139,0.161590,0.361951,0.358179,0.542575
71,0.480118,0.146380,0.131519,0.129486,0.076354,0.156736,0.203699,0.289842,0.747059
72,0.494209,0.213086,0.215669,0.184262,0.118246,0.170660,0.188161,0.443676,0.595421
73,0.478507,0.289884,0.245776,0.183851,0.144893,0.173278,0.240551,0.511998,0.470920
74,0.483452,0.359307,0.325416,0.187330,0.174446,0.149822,0.241088,0.422610,0.454515
75,0.443623,0.324321,0.287361,0.148086,0.145075,0.154713,0.120478,0.377092,0.625949
76,0.430613,0.255247,0.292066,0.174145,0.149143,0.298910,0.262480,0.371018,0.561828
77,0.456386,0.300308,0.282447,0.163614,0.170922,0.340044,0.406775,0.383515,0.370926
78,0.425111,0.160817,0.114268,0.118061,0.122687,0.138495,0.153566,0.308713,0.783137
