Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
0,0.424063742,0.451363623,0.376848549,0.027299881,0.047215194
1,0.041154169,0.120313272,0.207810372,0.079159103,0.166656196
2,0.175120130,0.050433580,0.142490551,0.124686554,0.032629579
3,0.293153942,0.246116176,0.175690681,0.047037765,0.117463261
4,0.577830493,0.604061306,0.179641038,0.026230812,0.398189455
5,0.238042429,0.466872424,0.250095159,0.228829995,0.012052730
6,0.238748923,0.220712200,0.382954657,0.018036723,0.144205734
7,0.165234342,0.123338103,0.554555058,0.041896239,0.389320731
8,0.476460248,0.268128067,0.463276505,0.208332181,0.013183743
9,0.052049048,0.404937953,0.194555655,0.352888912,0.142506599
10,0.077518038,0.124903351,0.093566410,0.047385313,0.016048372
11,0.200833619,0.097407147,0.163464174,0.103426471,0.037369445
12,0.584320545,0.296745837,0.410990775,0.287574708,0.173329771
13,0.727643371,0.608552039,0.538224578,0.119091332,0.189418793
14,0.199133918,0.540986717,0.460660785,0.341852784,0.261526883
15,0.113744371,0.198563412,0.290509135,0.084819041,0.176764756
16,0.113782018,0.117365643,0.300352931,0.003583625,0.186570913
17,0.120473668,0.081693657,0.285057753,0.038780011,0.164584085
18,0.038471010,0.308253914,0.144101515,0.269782901,0.105630502
19,0.125947833,0.126800343,0.180318490,0.000852510,0.054370657
20,0.154781029,0.136938259,0.163380191,0.017842770,0.008599162
21,0.485018730,0.250695914,0.372154772,0.234322816,0.112863958
22,0.824324489,0.726950288,0.629096270,0.097374201,0.195228219
23,0.157630190,0.470123410,0.484508127,0.312493205,0.326877952
24,0.098811164,0.173978642,0.314003587,0.075167477,0.215192422
25,0.092776433,0.132977873,0.176957116,0.040201440,0.084180683
26,0.026971431,0.099379539,0.145277053,0.072408110,0.118305624
27,0.056524299,0.410066158,0.222109124,0.353541851,0.165584832
28,0.075305931,0.246025324,0.271116734,0.170719385,0.195810795
29,0.107963115,0.119474187,0.231291190,0.011511073,0.123328075
30,0.261148512,0.288840950,0.363200009,0.027692437,0.102051497
31,0.922109365,0.683723569,0.636067033,0.238385797,0.286042333
32,0.134424567,0.206132680,0.255161375,0.071708113,0.120736808
33,0.188615680,0.221967250,0.393386066,0.033351570,0.204770386
34,0.067855611,0.262271136,0.180536076,0.194415525,0.112680465
35,0.052378595,0.213517934,0.186330333,0.161139339,0.133951738
36,0.068421684,0.258501440,0.189943954,0.190079749,0.121522270
37,0.057216860,0.218780175,0.204374328,0.161563307,0.147157460
38,0.116874084,0.149097860,0.266726941,0.032223776,0.149852857
39,0.191543445,0.270852506,0.390585542,0.079309061,0.199042097
40,0.941140056,0.764880896,0.675742209,0.176259160,0.265397847
41,0.131624520,0.159228101,0.254476070,0.027603582,0.122851551
42,0.168598875,0.211200327,0.352527887,0.042601451,0.183929011
43,0.075736128,0.279563606,0.152818143,0.203827471,0.077082016
44,0.066821739,0.237830177,0.171573147,0.171008438,0.104751408
45,0.066027820,0.224700704,0.273981184,0.158672884,0.207953364
46,0.095148243,0.142669499,0.257866859,0.047521256,0.162718624
47,0.148623422,0.095335498,0.343196779,0.053287923,0.194573358
